"nurseryid"	"(E)-Geranylacetone"	"1-Butanol"	"1-Butanol, 2-methyl-"	"1-Butanol, 2-methyl-, acetate"	"1-Dodecanol"	"1-Heptanol"	"1-Hexanol"	"1-Hexanol, 2-ethyl-"	"1-Octanol"	"1-Octen-3-ol"	"1-Octen-3-one"	"1-Pentanol"	"1-Penten-3-one"	"1-Penten-3-one, 2-methyl-"	"1-Propanol"	"1-Propanol, 2-methyl-"	"1,3-Dioxolane, 2,4,5-trimethyl-"	"1,3,6,10-Dodecatetraene, 3,7,11-trimethyl"	"2-Dodecanone"	"2-Heptanone"	"2-Heptenal"	"2-Hexen-1-ol, acetate, (Z)-"	"2-Hexenal"	"2-Octenal, (E)-"	"2-Pentenal, (E)-"	"2-Propenal"	"2,2,7,7-Tetramethyloctane"	"2,4-Heptadienal, (E,E)-"	"2,4-Hexadienal"	"3-Hexenal"	"3-Hexenyl acetate"	"3-Methyl-3-butenyl acetate"	"4-Oxohex-2-enal"	"5-ethyl-2(5H)-furanone"	"5-Hepten-2-ol, 6-methyl-"	"5-Hepten-2-one, 6-methyl-"	"5-Hexen-1-ol"	"5-Hexenyl acetate"	"à-Farnesene"	"Acetic acid"	"Acetic acid, butyl ester"	"Acetic acid, hexyl ester"	"Acetic acid, methyl ester"	"Acetic acid, pentyl ester"	"Acetone"	"Benzaldehyde"	"Benzene"	"Benzophenone"	"Benzothiazole"	"Butanal"	"Butanal, 2-methyl-"	"Butane, 1-methoxy-2-methyl-"	"Butanoic acid, 2-methyl-, 2-methylbutyl ester"	"Butanoic acid, 2-methyl-, ethyl ester"	"Butanoic acid, 2-methyl-, hexyl ester"	"Butanoic acid, 2-methyl-, methyl ester"	"Butanoic acid, 2-methyl-, pentyl ester"	"Butanoic acid, 2-methylbutyl ester"	"Butanoic acid, 2-methylpropyl ester"	"Butanoic acid, 3-hydroxy-, ethyl ester"	"Butanoic acid, butyl ester"	"Butanoic acid, ethyl ester"	"Butanoic acid, hexyl ester"	"Butanoic acid, methyl ester"	"Butanoic acid, pentyl ester"	"Butanoic acid, propyl ester"	"Butyl 2-methylbutanoate"	"Butyrolactone"	"Cyclopropane, nonyl-"	"Decanal"	"Estragole"	"Ethanol"	"Ethyl Acetate"	"Furan, 2-methyl-"	"Furan, 2-pentyl-"	"Furan, tetrahydro-2,2,5,5-tetramethyl-"	"Heptanal"	"Heptane, 2,2,4,6,6-pentamethyl"	"Hexamethylene diacrylate"	"Hexanal"	"Hexane, 1-methoxy-"	"Hexanoic acid, 2-ethyl-"	"Hexanoic acid, butyl ester"	"Hexanoic acid, ethyl ester"	"Hexanoic acid, hexyl ester"	"Hexanoic acid, methyl ester"	"Hexanoic acid, propyl ester"	"Isobutyl acetate"	"Isopropyl Alcohol"	"n-Propyl acetate"	"Octanal"	"Octane, 2,2,6-trimethyl-"	"Pentanal"	"Pentanoic acid, ethyl ester"	"Phenol"	"Propanal"	"Propanoic acid, 2-methyl-, butyl ester"	"Propanoic acid, 2-methyl-, ethyl ester"	"Propanoic acid, 2-methyl-, hexyl ester"	"Propanoic acid, butyl ester"	"Propanoic acid, ethyl ester"	"Propanoic acid, hexyl ester"	"Propanoic acid, propyl ester"	"Tetrahydrofuran"	"Toluene"	"β-Damascenone"
2089	12074	29189828	6895494	850679	0	81042	36541190	227885	0	0	299110	1091444	107668	0	118128	25722	0	23971	0	0	257230	0	7474571	150095	0	0	0	0	397774	15404968	0	0	0	0	0	313270	8064.6	0	3959353	0	3728510	286854	0	0	0	0	0	0	0	0	0	0	0	4644357	740896	138848	0	0	1394408	0	5381020	53852676	2942985	1785599	74882	3169716	484457	24679	26588	49375	0	1361074	0	0	0	0	139783	0	0	27016412	0	0	392315	292419	276513	0	0	0	0	60055	284781	0	0	0	0	0	0	175011	0	211322	0	0	0	49707	0	64904
2153	12458	26716780	8158922	0	0	85071	37000345	100977	251122	12226	294930	736639	86705	251185	83384.5	58435	498557	8628.1	0	0	416063	0	5100170	137475	0	0	0	0	207446	7750381	0	0	0	0	60373	407982	49328	0	5111336	0	354810	23969	0	0	47480	0	0	0	0	0	0	0	0	6717543	70445	152371	0	0	0	284443	249668	51221567	156485	987407	0	133311	12253	19454	30912	0	2780.6	7101280	0	0	0	0	233631	0	0	14931830	0	0	139715	1025834	89146	0	0	0	0	0	36779	0	932511	17293	0	0	0	330415	0	0	0	0	0	21122	0	74648
2212	15781	6469457	7224897	0	0	57562	21244455	218861	40206	8037.6	218871	361283	189970	0	49217	0	0	18476	0	0	151168	0	34704287	127181	173766	0	0	0	873583.5	29017152	0	0	35842	0	10747	213134	0	0	2754890	0	590786	120317	0	0	0	0	0	0	0	0	88260	12315	18362	560713	10493310	301418	43237	63376	252671	0	6501461	24905915	12727276	3650347	169071	6825611	574140	29546	0	55419	127495	19893	647167	0	0	0	73319	0	0	65005373	0	0	0	560235	1100423	434474	0	0	0	613536	104001	0	221670	0	0	0	0	0	75295	1276728	0	187949	681487	0	0	66315
2215	19889	16358065	8463404	0	384430	436684	43278365	790388	853699	0	373823	725940	19539	566163	104692	0	0	0	0	0	299012	0	480862	175389	0	0	0	0	0	0	0	0	0	0	58341	135473	0	0	1559517	0	1540139	255096	0	0	80779	0	0	0	0	0	25115	0	18445	1997222	6854832	449047	57680	160908	2134882	0	15303613	27635319	15416958	4496181	0	15112119	2259460	32054	0	58713	207637	51664	0	0	0	0	57430	0	12283	3364482	0	0	3439413	1903927	3136185	846557	1305966	0	0	61170	380112	0	0	0	0	16628	53593	0	47205	2481362	552325	336586	996776	33500	0	58496
2228	17456	1359122	1214677	18291608	0	0	803654	152396	0	21555	318404	30667	170857	19585	0	0	0	0	0	0	255524	0	21888510	120484	198668	0	0	7678.8	520412.5	18589233	0	0	0	12289	0	183400	0	250603	443503	0	24275365	3794506	0	1004843	0	0	0	21890	0	0	0	0	0	0	114356	0	0	0	0	0	594534	73878	46150	0	0	0	186824	24496	0	81796	0	0	0	0	17802	0	157503	0	0	18210674	0	0	0	0	0	0	0	408500	0	500679	119383	0	947885	0	0	0	0	0	0	106705	0	0	0	0	0	16041
2242	27200	1247322	744585	0	31158	0	5175033	249516	0	17257	423789	170528	142391	407474	0	59915	0	0	0	0	541451	0	3999635	264253	53313	0	0	0	227993.5	10534745	0	0	0	0	0	188944	0	0	0	0	39828	33983	0	0	0	0	0	11888	0	0	0	0	0	0	0	0	0	0	0	0	341784	150006	990508	392381	16451	107379	0	27236	0	29080	0	0	0	0	8708.7	0	111474	0	0	7791518	0	0	0	0	23287	0	0	0	0	0	74965	0	750186	0	0	0	0	0	51467	34789	0	0	0	40677	0	135446
2249	15695	5777173.5	1771674.5	7984848	14521	0	5944050.5	277372	0	15232.5	261890.5	41983.5	492190	0	0	35846	0	27251	0	0	243555.5	0	26803330.5	150004.5	479419	0	0	0	663305.5	22324328.5	5811.3	0	36086	25087	26125	246240	0	237015	3309893.5	0	43356091	12920040.5	59790	849077	67231	9594.5	17747	21653	0	0	0	0	0	0	544776.5	0	0	6376.7	0	0	7388199	0	1677443	0	20969.3	0	511539.5	29274	121736	47413	2013.9	0	0	34391	40687	0	178761.5	0	18396	27208780	0	0	434241	0	437601.5	0	0	798729	0	160024	228963.5	0	969985.5	0	2232.6	0	36623.5	0	0	211665.5	0	0	0	0	0	135650.5
2260	11586	4236063	3582990	88825690	0	15809	3391496	164042	58010	0	183008	67863	147864	0	0	82960	0	0	0	0	179770	0	13581993	88022	0	0	0	0	662554.5	19292511	0	0	27406	19069	0	113424	0	908574	750369	0	95810584	27353955	0	4364226	0	0	0	21097	0	0	0	0	64133	0	1357674	0	6608.1	0	0	0	1741079	185602	479331	0	0	0	929326	33518	0	13490	0	0	0	0	0	0	122908	0	0	16115767	0	0	0	0	41628	0	0	1907173	0	1355728	126085	0	690715	0	0	0	0	0	0	1601646	0	0	79819	0	0	161449
2305	15949	17033045	11733503	40325	0	30539	25266536	84457	0	0	143899	1082670	74321	0	125029	32507	0	0	0	0	248997	0	3875772	95247	0	0	0	0	133217.5	4804673	0	0	0	0	0	197433	0	0	757597	0	862428	76119	0	0	0	0	0	8800.4	0	0	131911	0	0	26326530	1572455	505351	8603.8	0	424808	52308	1049685	93847959	553561	1053163	15997	419671	246206	31039	0	0	0	4553521	0	0	0	0	47122	0	0	4047164	0	0	204854	1530247	158039	46423	0	0	0	0	0	0	221666	359160	0	0	0	793083	0	52630	0	0	0	0	0	152464
2309	28003	22137386	3552893	0	0	143147	52776762	232499	222882	55197	597329	843357	249248	314031	0	13450	0	0	0	0	884599	0	29795274	457366	0	0	0	0	509759.5	12860773	0	0	0	0	0	455530	0	0	676327	0	486308	49618	0	0	0	0	0	0	0	0	0	0	0	235879	1970049	0	0	39504	0	0	23759414	16234589	26362518	1675112	463923	4335310	860295	47727	183282	11812	2876.6	36640	0	133881	0	0	138074	0	13011	29092608	136198	0	0	586418	1985589	205459	0	0	0	0	96005	0	1146982	0	4828.4	0	35719	0	27585	700626	0	25682	26944	0	0	282294
2318	34640	554993	479051	6802670	0	0	1985125	332580	0	7970	289213	78422	252807	59807	0	0	0	0	0	0	288526	0	8657088	146833	0	0	0	0	540006.5	20785162	0	0	0	0	0	237002	0	285950	25254	0	11377766	3883294	0	951590	0	0	0	0	0	0	0	0	0	0	25578	0	0	0	0	0	204979	0	64914	0	0	0	0	35095	0	25138	0	0	0	0	16243	0	195881	0	0	12626305	0	0	0	0	20032	0	0	869459	0	55916	156242	0	935724	0	0	0	0	0	0	0	0	0	0	0	0	85203
2336	17942	0	4277331	0	173165	792841	102880640	261827	2750623	46333	165970	1378968	61314	0	1656980	17746	0	15477	0	0	211945	0	3836427	121982	0	0	0	0	275715	0	0	0	0	0	42322	327903	0	0	2370291	0	0	55074	0	0	84357	21490	5557.9	0	0	0	0	0	0	1736557	935476	0	0	0	0	0	0	25219167	5126394	28706	0	1002799	94180	50007	0	15339	18075	606062	0	0	0	0	96943	0	12186	0	12000	0	0	1093557	1356624	0	59514	0	0	0	122566	0	563209	0	0	0	33303	107613	106152	0	0	0	0	30455	0	63461
2339	28219	22247015	7796278	33645	0	150832	72721591	146154	103755	64026	597970	2216103	220685	0	114970	18705	92263	70451	0	0	823770	0	43335851	378426	0	0	0	0	334631.5	5917849	0	0	0	0	10661	814596	7634.7	0	10672677	0	1628593	824938	0	0	0	0	0	0	0	0	0	0	0	37461878	2822597	514007	21044	49253	1811929	259127	6733255	185152734	0	3487549	189310	4764653	834935	45214	151698	0	18939	4683283	6600508	76382	0	0	120269	0	0	33648289	0	0	0	6156180	698892	94413	0	0	0	0	77928	0	1778306	452005	7671.4	0	65247	1158950	0	171759	7365456	0	0	33927	0	184865
3018	17992	3548689	2067598	129713	0	69548	36608309	559253	160102	10946	0	449866	143297	0	0	0	690604	3046.1	0	0	387982	0	18028634	162681	0	0	0	0	982037.5	27434847	0	0	0	37611	79934	286285	0	0	2313079	0	958111	292520	0	0	0	19968	0	21028	18512	0	0	0	0	44201627	33114	115143	0	0	0	509889	448814	252878217	606289	1807715	0	371680	0	38524	448905	1047369	2676.9	7526680	28355609	0	0	0	201248	0	0	48148576	38756	22211	0	46555358	196006	1462836	27826	0	0	0	613170	0	404747	3352733	3934	0	0	4785407	0	0	10157527	0	0	0	0	0
3053	13344	9783128	272849	16812448	5970.1	146475	29530793	371518	407911	71569	1126466	184456	101857	0	0	0	0	7929.1	0	0	732851	0	19263155	384950	0	0	0	0	565584	14734574	0	192708	29481	21487	238603	374879	0	1900310	3571111	0	91567897.7	240217333	184935	14975577	90743	0	0	0	5655.7	0	0	0	0	3232106	366088	0	0	0	0	23890	19604806	87727838	10735260	746232	0	0	197775	36648	0	628381	27663	1764247	48481897	0	0	0	376445	0	0	26057617	33891	0	1957815	9066787	1057609	32949	274623	3279254	0	3119680	1320335	0	428163	178451	5874.6	0	284823	292254	78363	712488	0	0	0	31750	0	0
3056	14768	5289953	11496537	6508	0	0	11721801	205746	0	89937	1303912	791229	156251	0	18563	34122	0	0	0	0	1056218	0	18384957	498166	0	0	0	5235.2	690208.5	22153048	0	0	43425	0	31108	358809	0	0	2802174	0	1238097	757090	0	0	0	0	0	0	5015.1	10269	0	0	0	73247999	138329	721543	0	0	921716	63544	1685124	252934398	401480	3489130	0	4666546	68819	40845	109121	612673	9608.1	3304813	1613762	0	0	0	101412	0	0	30769570	21511	0	181515	18888306	248076	715265	0	0	0	0	338582	0	315174	3472039	10179	0	0	1436311	0	0	11693208	0	0	51714	0	47978
3064	19609	14226977	7856889	0	133247	69942	32255270	289688	0	20723	526984	932654	503975	0	0	0	0	13593	0	0	487111	0	28869723	265682	402550	0	0	7236.7	1463676	53766372	0	0	70742	49362	25800	300833	0	0	2200747	0	224812	224752	0	0	0	29863	7303.1	25776	0	0	28384	0	0	82742	887838	48827	0	40501	0	0	9303591	10652856	8924616	3308734	222368	4957905	362497	38027	0	400309	10900	0	0	0	0	0	478917	0	0	30006644	0	0	0	0	347090	0	0	0	0	0	240508	0	1183288	0	0	0	0	0	21291	153142	0	0	0	37074	0	67232
3134	18879	9646342	5670480	179566285	0	50306	7250766	399224	379122	16272	529117	81213	166195	0	117000	88532	0	31292	0	0	353652	108732	8211439	253707	0	0	0	0	631184.5	18202045	0	309919	0	25113	48969	372694	0	288548	5493601	0	229996079	118985771	0	7183825	146423	0	8270.6	23193	0	0	0	12204	234010	3888224	6150099	492355	15755	56470	3654230	0	7776038	17852421	0	213299	0	0	4305121	24445	180865	300065	443896	38622	2748054	29714	0	0	256805	0	8601.2	36616009	0	0	4197288	1314019	2362483	0	793824	6601576	0	10292996	717112	0	0	0	0	0	213457	0	0	7428630	0	423648	2458037	90107	0	85922
3148	18833	17224542	1857449	0	14655	104310	34965180	530503	144588	10856	239023	689233	317109	0	0	63074	0	25325	0	55677	176969	0	17226522	116059	193203	0	0	0	798560.5	25994761	0	0	0	20131	18990	301199	35942	0	3824651	0	958818	543664	0	0	0	0	0	0	0	0	0	0	0	61265	244012	118519	0	0	0	0	5688287	8028872	3585909	3199289	67534	2618668	131077	33695	0	214400	0	21759	0	0	0	0	659742	0	0	17270692	0	0	0	0	240007	87563	0	0	0	0	250223	0	0	0	0	0	0	0	0	336205	0	0	0	0	0	151727
3172	46550	5176370	2023641	17025949	0	0	7958151	591077	27955	56987	858857	240742	379947	75133	0	0	0	2602.1	0	0	591150	0	14022174	465855	82242	0	0	4974.6	712416	21275852	0	0	0	17573	0	350696	0	625467	1036782	0	50610603	19623671	0	2384124	63933	21223	0	40407	0	0	0	0	0	0	645115	0	0	0	0	0	757648	324630	552063	0	0	0	188118	38897	0	393097	0	0	0	0	184178	0	387604	0	10498	15084715	0	0	0	0	13070	0	0	583648	0	414310	500760	0	1563308	0	3375.4	0	0	0	0	285717	0	0	0	29775	0	93145
3178	13809	5435092	3610791	52097010	0	0	5524209	273510	15508	11706	337760	242564	160217	0	0	82351	0	0	0	0	313805	0	7835125	190881	0	0	0	0	1008193	33868345	45921	0	46761	28336	0	196815	0	0	691434	0	69607043	20377554	0	4266152	0	0	0	42238	0	0	0	0	0	0	892302	0	0	0	0	0	859112	0	167662	0	0	0	412628	45876	0	165018	0	0	0	0	0	0	271316	0	20263	34298733	0	0	0	0	11528	0	0	1126154	0	468626	432442	0	786444	0	0	0	0	0	0	425694	0	0	0	50881	0	53439
3184	36494	4221488	2709363	41247765	0	0	6993862	653414	51838	51950	788051	69430	720439	100579	0	93222	0	0	0	69704	708931	0	38806377	337605	265596	29980	0	0	1480467	48639902	0	0	89012	0	0	449843	0	300258	1796321	0	65301667	36198414	0	4251575	0	0	0	37167	0	14212	0	0	0	0	911792	0	0	0	0	0	1998936	0	1490808	0	14972	0	308105	47674	0	38678	2496.7	0	0	35102	0	0	342189	0	26449	22620966	0	0	161257	0	242581	0	0	1599856	0	1288859	586743	0	2057083	0	7343.8	0	0	0	0	509109	0	12642	0	54731	0	173315
3335	11702	7012604	1435700	17468535	0	0	6874151	172453	8076.7	27452	628001	371219	321836	37956	0	130385	0	0	51132	0	510684	0	42794454	154226	0	0	128966	8244	616992.5	16231853	0	0	0	0	0	175018	0	956949	380199	0	84489031	27748095	0	5529231	0	0	0	29303	0	15659	0	0	0	0	1718356	0	33508	0	0	0	10339819	0	8002074	0	195321	0	744503	34928	225099	174369	0	0	0	0	34098	19264	134107	0	0	14108231	0	0	0	0	228892	0	0	1333841	0	1400034	294673	212278	1883356	0	0	0	0	0	33402	1527273	0	149074	0	0	0	0
3338	14747	7276338	2008664	0	0	49692	23316775	438591	67153	20850	578291	425573	360950	0	0	0	0	26538	47072	0	547951	0	12221935	259319	0	0	0	7889.9	1283264	49027663	0	0	61534	39196	0	372081	8155.5	0	3347818	0	514272	350502	0	0	0	0	15630	27904	3778.4	0	0	0	0	48095	271633	0	0	26968	0	0	9581639	8997922	5767880	912787	195869	3375547	159586	0	94846	400209	0	0	0	0	0	0	285321	53024	0	24048128	0	0	0	0	347421	0	0	0	0	0	225504	184167	1479411	0	8472.2	0	0	0	0	109627	0	0	0	30929	0	95214
4003	13690	9613137	683813	19227336	0	61071	16517834	522341	142530	0	351487	205981	64343	0	0	60280	0	0	35106	0	199589	83150	4587009	96205	0	0	0	0	221556.5	6817184	86170	0	0	0	0	163187	0	139957	856931	0	151820491	109326316	0	7838375	50132	0	26331	0	0	0	0	0	0	231375	294974	0	0	0	0	0	11606420	39986271	0	1764144	150401	0	164181	22064	0	75233	11215	83310	1228922	0	0	8863	33869	0	0	8308581	23118	0	0	1790157	1008327	277112	0	1320557	0	774092	561993	112680.5	0	0	0	0	0	0	0	687539	0	21272	0	0	50478	0
